22K109,K109,P.S. 109,DOE,General Academic,K-8,0K 01 02 03 04 05 06 07 08 SE,0K 01 02 03 04 05 06 07 08,Sep 8 1995,Open,K395,1001 EAST 45 STREET,BROOKLYN,NY,11203,22,22,K822,COMMUNITY SCHOOL DISTRICT 22
16K028,K028,P.S. 028 The Warren Prep Academy,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1913,Open,K028,1001 HERKIMER STREET,BROOKLYN,NY,11233,16,16,K816,COMMUNITY SCHOOL DISTRICT 16
84X185,X185,Bronx Lighthouse Charter School,Charter,General Academic,K-12 all grades,0K 01 02 03 04 05 06 07 08 09 10 11,0K 01 02 03 04 05 06 07 08 09 10 11 12,Sep 13 2004,Open,X716,1001 INTERVALE AVENUE,BRONX,NY,10459,12,84,K01D,OFFICE OF CHARTER SCHOOLS
12X286,X286,Fannie Lou Hamer Middle School,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,06 07 08 SE,Jul 1 2005,Open,X066,1001 JENNINGS STREET,BRONX,NY,10460,12,12,X812,COMMUNITY SCHOOL DISTRICT 12
12X066,X066,P.S. 066 School of Higher Expectations,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1924,Open,X066,1001 JENNINGS STREET,BRONX,NY,10460,12,12,X812,COMMUNITY SCHOOL DISTRICT 12
08X152,X152,P.S. 152 Evergreen,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05 SE,Jul 1 1975,Open,X152,1007 EVERGREEN AVENUE,BRONX,NY,10472,8,8,X808,COMMUNITY SCHOOL DISTRICT 08
14K018,K018,P.S. 018 Edward Bush,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1916,Open,K018,101 MAUJER STREET,BROOKLYN,NY,11206,14,14,K814,COMMUNITY SCHOOL DISTRICT 14
13K265,K265,Dr. Susan S. McKinney Secondary School of the Arts,DOE,General Academic,Secondary School,06 07 08 09 10 11 12 SE,06 07 08 09 10 11 12,Jul 1 1958,Open,K265,101 PARK AVENUE,BROOKLYN,NY,11205,13,13,K813,COMMUNITY SCHOOL DISTRICT 13
84K752,K752,Success Academy Fort Greene (Brooklyn 5),Charter,General Academic,Elementary,0K 01 02 03 04 05,0K 01 02 03 04 05,Jul 1 2013,Open,K265,101 PARK AVENUE,BROOKLYN,NY,11205,13,84,K01D,OFFICE OF CHARTER SCHOOLS
14K318,K318,I.S. 318 Eugenio Maria De Hostos,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 1968,Open,K318,101 WALTON STREET,BROOKLYN,NY,11206,14,14,K814,COMMUNITY SCHOOL DISTRICT 14
